Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.3514,-0.699996,2.67229,1.41673,13.73,6.58845,NaN,NaN
-1,-91.352,-0.724037,5.41694,6.1445,260.869,10.5965,-91.3971,-0.731365
-2,-91.3522,-0.748736,9.08428,9.55338,329.51,18.2689,-91.4206,-0.810405
-3,-91.3384,-0.778704,13.8295,14.1404,411.878,26.5033,-91.3519,-0.838613
-4,-91.2977,-0.791692,17.5035,19.7849,494.254,31.856,-91.2287,-0.842633
-5,-91.2665,-0.802643,20.7698,24.3175,439.335,36.0378,-91.1491,-0.916422
-6,-91.2404,-0.816203,27.5504,28.0262,604.077,43.5827,-91.0974,-0.94337
-7,-91.1831,-0.837087,33.7818,35.2877,713.898,51.9464,-91.024,-0.953079
-8,-91.1357,-0.86709,38.2643,43.2594,851.157,59.7298,-90.8536,-1.03079
-9,-91.1277,-0.90663,44.4129,49.9033,1057.05,68.0189,-90.7967,-1.12966
-10,-91.1323,-0.96177,52.357,55.2406,988.376,78.9982,-90.7253,-1.20702
-11,-91.0999,-1.02551,95.6819,57.6393,1111.93,133.695,-90.6222,-1.22338
Marielas-Bahia Elizabeth (lat -0.60  lon -91.09),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.0847,-0.600006,0.827745,1.41675,13.7303,1.24062,NaN,NaN
-1,-91.0775,-0.601827,1.15014,1.42119,68.6514,1.82067,-91.0921,-0.614818
-2,-91.0746,-0.602164,1.3028,1.53379,123.573,2.1215,-91.1181,-0.600006
-3,-91.0733,-0.601956,1.3629,1.55896,123.573,2.30501,-91.1144,-0.597537
-4,-91.0727,-0.601994,1.38486,1.5794,123.573,2.41145,-91.1144,-0.597537
-5,-91.0728,-0.60183,1.40568,1.63012,137.303,2.50173,-91.1231,-0.597985
-6,-91.0729,-0.60165,1.44766,1.65694,137.303,2.58702,-91.1231,-0.589905
-7,-91.0726,-0.601405,1.50275,1.6362,123.573,2.65024,-91.1231,-0.589905
-8,-91.0721,-0.601285,1.54567,1.57978,96.1123,2.71133,-91.1144,-0.592598
-9,-91.0718,-0.601562,1.55049,1.53188,109.843,2.74336,-91.1144,-0.592598
-10,-91.0718,-0.60157,1.58407,1.54261,96.1123,2.80665,-91.1144,-0.592598
-11,-91.0721,-0.601421,3.27636,1.6094,109.843,5.49961,-91.1255,-0.581488
Cabo Hammond (lat -0.47  lon -91.61),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.618,-0.466686,1.51872,1.41676,13.7306,5.91332,NaN,NaN
-1,-91.6262,-0.477633,2.15085,6.03137,315.801,12.8983,-91.6351,-0.523505
-2,-91.6305,-0.473913,5.80803,10.9705,535.48,21.037,-91.6442,-0.597043
-3,-91.5997,-0.485416,12.9407,18.4416,659.041,31.5136,-91.5563,-0.673724
-4,-91.5355,-0.484752,20.7635,26.8363,700.212,41.0011,-91.4335,-0.73967
-5,-91.4651,-0.485551,26.7493,33.3618,727.653,48.8281,-91.2874,-0.81335
-6,-91.4113,-0.48831,30.3243,38.8025,604.083,54.7174,-91.0455,-0.862313
-7,-91.3817,-0.500887,35.4373,43.7177,645.258,63.4888,-90.9416,-0.887824
-8,-91.3591,-0.540988,44.0896,50.3411,741.343,77.0348,-90.8852,-0.942737
-9,-91.3437,-0.617313,56.3685,60.1897,809.962,93.9524,-90.7406,-0.982965
-10,-91.3373,-0.727627,70.4706,70.1672,864.841,112.658,-90.611,-1.06861
-11,-91.3339,-0.85449,123.186,79.3212,809.877,184.311,-90.4975,-1.18867
Punta Mangle (lat -0.46  lon -91.39),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.3847,-0.466686,7.00131,1.41692,13.7306,9.11182,NaN,NaN
-1,-91.4185,-0.519847,12.8626,6.40416,411.915,18.5879,-91.3881,-0.533345
-2,-91.4524,-0.560298,18.4286,14.3567,617.867,30.6639,-91.4199,-0.578387
-3,-91.4713,-0.606665,23.8192,24.5114,823.812,43.4923,-91.4616,-0.620546
-4,-91.4378,-0.641714,35.7329,34.8111,892.45,57.3864,-91.4212,-0.67401
-5,-91.3311,-0.65259,46.7691,40.806,878.709,69.6835,-91.3804,-0.702002
-6,-91.2318,-0.653275,55.0709,45.5025,974.807,79.0967,-91.2724,-0.727304
-7,-91.1594,-0.671772,62.6998,50.7305,1167,88.1369,-91.092,-0.767818
-8,-91.0971,-0.700537,71.9415,58.7768,1043.41,99.812,-90.968,-0.787213
-9,-91.0265,-0.744643,83.2984,71.3728,1290.49,114.541,-90.7896,-0.895517
-10,-90.9588,-0.821208,94.8246,85.3091,1098.26,129.014,-90.6846,-0.997949
-11,-90.9227,-0.918457,167.739,96.1096,1331.53,219.712,-90.5822,-1.06294
Cabo Douglas (lat -0.30  lon -91.65),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.6513,-0.300036,14.343,1.41694,13.7309,14.3922,NaN,NaN
-1,-91.631,-0.427508,21.1504,3.16674,82.3842,22.0368,-91.6328,-0.414838
-2,-91.6138,-0.486298,30.03,8.33049,192.227,34.5683,-91.6151,-0.493249
-3,-91.6088,-0.566049,44.7387,19.124,384.446,53.4625,-91.6091,-0.595443
-4,-91.5385,-0.678222,65.742,34.5657,535.459,76.6332,-91.5344,-0.722401
-5,-91.3599,-0.740123,86.7902,47.731,755.112,98.0552,-91.3901,-0.779546
-6,-91.173,-0.771307,102.809,58.0626,713.907,114.336,-91.1883,-0.833626
-7,-91.0326,-0.804056,112.018,67.2267,809.999,125.198,-90.9726,-0.876059
-8,-90.953,-0.826936,125.649,74.6887,823.71,144.314,-90.7589,-0.926818
-9,-90.8411,-0.877268,145.311,84.8637,796.245,171.543,-90.698,-0.923818
-10,-90.7229,-1.00895,165.974,98.2555,837.404,197.925,-90.6153,-0.986886
-11,-90.6402,-1.17553,314.418,112.686,960.904,360.209,-90.5387,-1.08756
Punta Espinosa (lat -0.27  lon -91.44),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.418,-0.266707,9.9006,1.41688,13.7309,9.9864,NaN,NaN
-1,-91.3694,-0.341342,20.4938,4.03318,123.577,21.2671,-91.3625,-0.335589
-2,-91.3568,-0.435839,27.8811,8.65395,370.728,29.7112,-91.3451,-0.437757
-3,-91.37,-0.50099,34.3642,9.30138,521.76,38.9053,-91.3473,-0.494253
-4,-91.3741,-0.55919,40.9107,14.5047,755.176,49.5445,-91.3606,-0.550319
-5,-91.3513,-0.613529,48.0093,23.0096,768.902,60.21,-91.4084,-0.604744
-6,-91.301,-0.652881,58.2392,28.4749,933.656,72.6035,-91.3932,-0.653542
-7,-91.2124,-0.677945,68.4462,30.2191,961.104,84.2451,-91.3365,-0.668471
-8,-91.1221,-0.694538,74.7704,30.6062,919.912,92.4172,-91.2565,-0.653724
-9,-91.0692,-0.715614,81.6798,35.2722,878.722,101.54,-91.1889,-0.641446
-10,-91.0156,-0.747073,91.8441,43.7654,823.791,113.988,-91.1173,-0.726171
-11,-90.9402,-0.798965,172.171,57.9754,1015.97,196.749,-91.0186,-0.84658
Punta Vicente Roca (lat -0.05  lon -91.54),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.5513,-0.0667258,8.84919,1.41679,13.7311,10.6334,NaN,NaN
-1,-91.4897,-0.117161,16.6525,6.56391,411.931,20.0056,-91.5095,-0.136213
-2,-91.4684,-0.184058,22.6105,12.4991,494.315,27.9597,-91.513,-0.203205
-3,-91.4564,-0.236321,27.915,17.3098,562.968,34.7165,-91.5098,-0.26458
-4,-91.4464,-0.283012,34.1583,20.9961,631.62,42.1601,-91.4946,-0.300883
-5,-91.4336,-0.337702,40.7123,24.5271,865.035,50.9463,-91.4961,-0.375554
-6,-91.4147,-0.393572,46.4028,28.7589,1043.52,59.2687,-91.479,-0.464481
-7,-91.384,-0.434603,54.178,32.6189,1180.8,68.099,-91.4501,-0.542353
-8,-91.3199,-0.462641,60.5721,33.1468,1070.95,75.7833,-91.3725,-0.604181
-9,-91.2645,-0.478102,64.0223,34.2247,988.575,81.0738,-91.2931,-0.586983
-10,-91.2373,-0.493118,66.2367,36.2183,892.459,86.0197,-91.2167,-0.55624
-11,-91.2297,-0.511521,128.651,38.5855,974.832,151.893,-91.1844,-0.617161
Roca Redonda (lat -0.27  lon -91.63),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.618,-0.266706,11.9691,1.41678,13.7309,15.3021,NaN,NaN
-1,-91.6085,-0.373995,19.766,8.37971,192.232,23.3791,-91.5736,-0.317367
-2,-91.5816,-0.438823,29.781,10.5635,192.228,34.5007,-91.5572,-0.406967
-3,-91.5678,-0.527888,44.7568,17.8849,356.991,52.4599,-91.5216,-0.478069
-4,-91.5278,-0.65658,64.4386,29.4052,494.278,75.6617,-91.487,-0.626498
-5,-91.3886,-0.766105,84.7373,38.4696,796.315,100.713,-91.3754,-0.734685
-6,-91.2145,-0.821489,101.443,46.4391,851.214,120.816,-91.276,-0.807675
-7,-91.0788,-0.886283,116.318,55.3201,810.014,136.202,-91.1299,-0.840341
-8,-90.956,-0.939649,133.822,58.5638,906.088,155.658,-91.0545,-0.883344
-9,-90.8007,-0.965961,154.755,63.1233,1112,180.659,-90.8452,-0.914767
-10,-90.6364,-1.05823,176.015,71.6619,1153.15,206.474,-90.647,-0.952494
-11,-90.5101,-1.20191,337.562,82.8907,1139.36,374.188,-90.5409,-1.0403
Cabo Marshall (lat -0.00  lon -91.22),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.218,-6.66498e-05,21.6358,1.41689,13.7311,21.7454,NaN,NaN
-1,-91.1438,-0.180078,45.9179,5.29641,260.889,46.3121,-91.1292,-0.172271
-2,-90.9967,-0.341597,71.0115,16.9424,480.577,73.3169,-90.9516,-0.36567
-3,-90.7952,-0.44358,92.8029,22.9565,727.724,97.5437,-90.7879,-0.417414
-4,-90.6128,-0.515699,111.339,26.6517,1194.56,117.854,-90.6809,-0.463748
-5,-90.4557,-0.571708,127.207,29.7457,1290.66,134.921,-90.5964,-0.537508
-6,-90.314,-0.590105,137.435,30.6132,1222,146.577,-90.5637,-0.548819
-7,-90.2225,-0.580091,147.56,31.4589,1125.9,157.705,-90.5093,-0.524848
-8,-90.1367,-0.549444,160.583,34.7381,1098.45,172.442,-90.4035,-0.511202
-9,-90.0208,-0.531933,175.601,36.8834,1112.17,191.376,-90.291,-0.486097
-10,-89.8858,-0.538681,188.894,38.78,1043.52,209.376,-90.2039,-0.475367
-11,-89.7716,-0.574145,362.367,47.132,988.592,384.892,-90.1038,-0.508588
Cabo Ibbetson (lat -0.60  lon -90.79),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.7848,-0.600006,17.4669,1.41691,13.7303,21.1348,NaN,NaN
-1,-90.6276,-0.599112,36.2186,13.5479,645.321,40.8288,-90.6021,-0.625617
-2,-90.4588,-0.598496,50.0302,21.3662,768.89,57.0815,-90.458,-0.625711
-3,-90.3348,-0.589199,61.6143,23.9474,933.644,69.8395,-90.3237,-0.690224
-4,-90.2364,-0.623614,73.0489,29.2738,823.786,82.587,-90.2306,-0.803341
-5,-90.1357,-0.644794,85.0709,37.2807,1057.18,95.9652,-90.1253,-0.856332
-6,-90.0276,-0.649293,96.874,46.2291,1180.77,109.349,-90.0143,-0.86103
-7,-89.9215,-0.653203,107.83,55.7806,1221.96,122.266,-89.9461,-0.857392
-8,-89.8233,-0.643598,117.643,64.7806,1208.23,134.533,-89.918,-0.864439
-9,-89.7351,-0.646528,126.122,74.7662,1180.76,144.837,-89.7805,-0.841407
-10,-89.6618,-0.66792,133.851,82.7029,961.065,154.082,-89.6528,-0.903476
-11,-89.6042,-0.706884,266.086,88.6354,864.949,292.587,-89.4346,-0.925354
Punta Calle (lat -0.29  lon -90.50),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.5181,-0.266706,17.354,1.41694,13.7309,17.9664,NaN,NaN
-1,-90.3692,-0.313768,39.0894,5.95431,357.002,40.0334,-90.3582,-0.323339
-2,-90.2043,-0.418988,56.0047,8.03478,398.191,57.747,-90.2055,-0.395144
-3,-90.0825,-0.510339,74.8512,14.1214,384.456,76.8888,-90.0576,-0.46639
-4,-89.924,-0.570623,96.499,24.2163,576.676,99.2329,-89.915,-0.527812
-5,-89.735,-0.617869,120.229,28.3085,768.897,123.983,-89.7297,-0.564173
-6,-89.5259,-0.661255,140.262,29.0547,1002.3,144.898,-89.5771,-0.610012
-7,-89.3471,-0.684497,157.034,29.6437,1084.68,162.312,-89.4197,-0.666846
-8,-89.1967,-0.697146,171.871,37.2461,1125.86,177.566,-89.3148,-0.746537
-9,-89.0634,-0.705543,185.917,49.6582,1112.14,192.177,-89.1063,-0.75729
-10,-88.9379,-0.720684,199.687,62.3436,1263.17,206.815,-88.863,-0.727471
-11,-88.8158,-0.742146,393.748,75.2089,1318.07,402.824,-88.6395,-0.703716
Salvaje de Corazon (lat -0.31  lon -89.98),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.9848,-0.300036,16.4269,1.41694,13.7309,17.0311,NaN,NaN
-1,-89.837,-0.296766,35.0645,5.79534,315.81,35.9663,-89.8463,-0.303956
-2,-89.6694,-0.292157,57.837,10.2677,466.85,59.3613,-89.7062,-0.289374
-3,-89.4656,-0.314188,84.4961,17.2044,549.234,86.3295,-89.4971,-0.31285
-4,-89.2327,-0.371749,115.499,25.0656,562.962,117.467,-89.2738,-0.360007
-5,-88.9674,-0.458217,150.237,29.8642,672.804,152.322,-89.0715,-0.412584
-6,-88.6712,-0.558004,187.662,32.1738,823.83,189.842,-88.7665,-0.52631
-7,-88.3499,-0.659189,226.48,31.2393,947.386,228.782,-88.4751,-0.615631
-8,-88.0104,-0.74138,262.349,30.4613,961.098,265.12,-88.1402,-0.693301
-9,-87.695,-0.810287,295.722,28.9379,947.356,299.574,-87.8453,-0.73644
-10,-87.4014,-0.873915,325.301,29.0823,906.158,330.38,-87.5343,-0.780692
-11,-87.141,-0.929387,647.611,30.8564,892.419,653.291,-87.2402,-0.794602
Cerca a Puerto Egas (lat -0.26  lon -90.87),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.8847,-0.266706,15.421,1.41694,13.7309,15.7308,NaN,NaN
-1,-90.7988,-0.375639,26.3982,6.53244,343.269,27.4721,-90.8097,-0.380208
-2,-90.7049,-0.406352,37.1862,12.6294,631.611,39.8415,-90.7186,-0.420536
-3,-90.6078,-0.404639,47.6827,19.3131,865.031,52.4535,-90.6304,-0.456244
-4,-90.5156,-0.425067,57.9759,26.0327,1016.07,64.285,-90.5583,-0.480547
-5,-90.4279,-0.455021,69.3805,32.2716,796.377,76.8431,-90.4606,-0.476849
-6,-90.3362,-0.50105,80.1206,39.3479,755.172,88.1849,-90.337,-0.540937
-7,-90.2478,-0.540139,90.2738,47.6781,892.47,99.8204,-90.2613,-0.589066
-8,-90.1593,-0.562803,98.5542,56.8926,1043.5,109.674,-90.1776,-0.655266
-9,-90.0873,-0.582094,103.439,64.2392,1057.22,116.471,-90.0948,-0.675492
-10,-90.0444,-0.591994,107.364,68.4951,961.104,122.048,-89.9735,-0.665322
-11,-90.0091,-0.592092,209.784,71.1936,906.181,227.689,-89.8779,-0.652504
Playa Roja (lat -0.41  lon -90.72),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.7181,-0.400026,15.7167,1.41677,13.7307,16.0344,NaN,NaN
-1,-90.5771,-0.411281,30.8053,5.13821,260.883,31.6492,-90.5914,-0.419282
-2,-90.4414,-0.405372,44.768,7.25935,329.538,45.9073,-90.4779,-0.405765
-3,-90.3214,-0.442507,56.0644,9.41704,384.461,57.7843,-90.3497,-0.410974
-4,-90.2349,-0.49586,67.4752,11.4057,384.458,69.7469,-90.2377,-0.47343
-5,-90.1496,-0.553048,81.6146,16.2422,288.339,84.3916,-90.1202,-0.548202
-6,-90.0302,-0.5971,97.3984,25.9128,425.641,100.491,-90.0007,-0.560391
-7,-89.8939,-0.637088,111.427,34.0405,590.403,115.015,-89.8919,-0.574275
-8,-89.7732,-0.674064,121.586,38.5737,604.131,125.555,-89.797,-0.588396
-9,-89.6867,-0.703667,128.512,40.6916,521.748,132.794,-89.6544,-0.633308
-10,-89.6251,-0.713506,134.39,42.0912,604.13,139.502,-89.5686,-0.662018
-11,-89.5722,-0.715855,265.924,42.8833,645.32,271.319,-89.4338,-0.651279
Sombrero Chino (lat -0.35  lon -90.57),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.5848,-0.366696,10.6727,1.41693,13.7308,11.3524,NaN,NaN
-1,-90.4941,-0.335033,23.563,5.57328,260.885,25.0169,-90.4706,-0.344919
-2,-90.3791,-0.350342,35.8478,10.7246,659.079,38.5189,-90.4026,-0.344358
-3,-90.2765,-0.391489,46.1572,12.2989,933.696,49.8735,-90.3521,-0.341224
-4,-90.1995,-0.443212,57.4177,12.4549,974.886,62.0417,-90.3237,-0.319524
-5,-90.1024,-0.47241,74.8538,15.5117,1125.92,80.1325,-90.2482,-0.327449
-6,-89.9469,-0.493313,98.0875,22.2546,1798.71,104.213,-90.1179,-0.356373
-7,-89.74,-0.523813,122.491,30.7755,2032.11,129.344,-89.9886,-0.422301
-8,-89.5246,-0.566375,145.15,37.9425,2210.6,152.685,-89.8761,-0.350781
-9,-89.3242,-0.604432,165.966,43.6902,2210.59,174.35,-89.7484,-0.378258
-10,-89.1392,-0.633483,185.209,53.3475,2292.96,194.566,-89.5433,-0.415903
-11,-88.9665,-0.647375,366.235,65.4829,2746.03,378.206,-89.3634,-0.407112
Daphne Mayor (lat -0.43  lon -90.37),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.3848,-0.433356,10.2412,1.41677,13.7307,10.6868,NaN,NaN
-1,-90.2947,-0.452798,16.6942,4.7654,164.768,17.545,-90.294,-0.456541
-2,-90.2558,-0.495898,19.6744,6.39504,164.767,21.0525,-90.2637,-0.490338
-3,-90.2343,-0.511909,23.6538,8.09939,192.228,25.5424,-90.2278,-0.493494
-4,-90.1985,-0.511765,30.617,11.9546,315.802,33.5568,-90.1401,-0.503824
-5,-90.1363,-0.519614,42.3108,20.044,562.95,46.6265,-90.0414,-0.523966
-6,-90.0358,-0.550958,57.3712,31.5252,1029.77,62.6817,-89.8961,-0.610845
-7,-89.905,-0.586368,74.9771,43.6995,1276.9,81.1489,-89.7506,-0.681966
-8,-89.7498,-0.618348,96.017,55.8343,1771.17,103.314,-89.5898,-0.740555
-9,-89.5693,-0.675479,116.609,66.8718,1908.44,125.158,-89.4424,-0.790597
-10,-89.3872,-0.710257,137.458,75.8095,2141.85,147.092,-89.3201,-0.77825
-11,-89.2014,-0.736302,272.039,85.1406,2128.12,282.606,-89.1652,-0.763455
Islas Plaza (lat -0.57  lon -90.17),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.1515,-0.566677,4.17003,1.41685,13.7304,5.6766,NaN,NaN
-1,-90.115,-0.558045,10.1201,4.98424,219.686,13.0301,-90.0848,-0.56623
-2,-90.0631,-0.54463,18.9005,10.1157,480.566,22.7218,-90.0034,-0.551273
-3,-89.9866,-0.524728,32.229,15.0634,851.293,36.7918,-89.9427,-0.522091
-4,-89.8698,-0.49774,51.8881,19.2036,1057.26,56.9895,-89.8417,-0.441626
-5,-89.6934,-0.484009,78.114,24.2086,1194.57,84.0563,-89.62,-0.45658
-6,-89.4576,-0.495023,108.578,29.4479,1153.37,115.373,-89.4056,-0.520913
-7,-89.1872,-0.540334,143.565,34.4939,1235.74,150.659,-89.157,-0.571675
-8,-88.8836,-0.623896,181.227,38.767,1331.83,188.563,-88.9203,-0.563187
-9,-88.5605,-0.72617,218.267,39.9009,1304.35,226.275,-88.5727,-0.630716
-10,-88.2381,-0.811062,254.768,40.3815,1537.74,263.473,-88.2898,-0.659115
-11,-87.916,-0.87556,507.939,38.909,1729.94,517.451,-88.0125,-0.667617
Bahía Santa fe (lat -0.80  lon -90.05),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.0182,-0.799987,11.6947,1.41666,13.7297,12.5094,NaN,NaN
-1,-89.9481,-0.721433,23.1976,6.37301,288.33,24.8214,-89.9384,-0.716987
-2,-89.851,-0.685498,37.5198,13.9235,453.092,40.1632,-89.835,-0.685491
-3,-89.7246,-0.660511,56.2673,20.6063,700.237,59.5472,-89.6923,-0.654737
-4,-89.5565,-0.645961,78.1199,26.1151,741.429,81.9151,-89.5474,-0.633817
-5,-89.3607,-0.664829,106.374,31.9286,878.726,110.797,-89.3395,-0.654278
-6,-89.1127,-0.720846,137.49,41.2751,851.255,142.523,-89.0835,-0.715118
-7,-88.8448,-0.802517,170.001,50.9874,796.329,175.497,-88.8361,-0.765575
-8,-88.5639,-0.884407,202.111,57.9721,947.334,208.049,-88.5649,-0.842664
-9,-88.2868,-0.966538,230.299,64.45,919.856,236.952,-88.3248,-0.918491
-10,-88.0374,-1.0128,256.625,69.4003,878.662,263.902,-88.1446,-0.90844
-11,-87.8013,-1.03365,507.534,75.9429,892.377,515.555,-87.9547,-0.909755
Las Cuevas (lat -1.25  lon -90.37),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.3848,-1.23328,17.8611,1.41656,13.7279,18.1185,NaN,NaN
-1,-90.2353,-1.29242,42.1896,7.51517,329.463,42.8129,-90.2415,-1.28181
-2,-90.0221,-1.34257,68.4555,12.7811,741.278,69.6896,-90.0806,-1.33737
-3,-89.7956,-1.41023,95.0121,19.5844,1098.17,96.9194,-89.8729,-1.37044
-4,-89.5626,-1.46364,120.655,26.1954,1345.23,123.311,-89.762,-1.38279
-5,-89.3354,-1.50485,146.237,30.5033,1825.65,150.127,-89.6176,-1.37685
-6,-89.1053,-1.51423,171.282,34.2075,2182.56,176.683,-89.4788,-1.31067
-7,-88.8799,-1.50858,196.703,38.2396,2264.92,203.509,-89.2599,-1.25485
-8,-88.6511,-1.51382,221.272,42.5625,2168.84,229.318,-89.25,-1.26006
-9,-88.4304,-1.52784,244.639,47.0551,2168.79,253.897,-89.079,-1.28307
-10,-88.2206,-1.54303,265.441,53.1349,2292.33,276.09,-88.9033,-1.2703
-11,-88.0335,-1.55228,527.56,59.2493,2127.62,541.199,-88.7498,-1.26355
Punta Suarez (lat -1.35  lon -89.71),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.7182,-1.33327,27.2287,1.41676,13.7273,27.4985,NaN,NaN
-1,-89.4865,-1.41318,55.5361,5.43774,425.535,56.2868,-89.5325,-1.38794
-2,-89.2375,-1.46741,82.0816,9.63494,837.338,83.4423,-89.3729,-1.38814
-3,-89.0012,-1.503,108.683,12.6732,974.595,111.291,-89.2342,-1.38092
-4,-88.7648,-1.54131,135.463,16.6024,933.419,139.952,-89.1378,-1.37217
-5,-88.5242,-1.55671,161.649,22.7482,1194.23,168.166,-89.0468,-1.3924
-6,-88.2888,-1.54436,186.495,30.1172,1235.43,194.343,-88.9805,-1.37815
-7,-88.0667,-1.51806,212.544,34.7991,1262.89,221.614,-88.8605,-1.38204
-8,-87.8337,-1.49135,236.407,36.752,1317.8,246.564,-88.7928,-1.36083
-9,-87.6199,-1.47071,258.838,38.2451,1400.16,269.963,-88.3478,-1.20481
-10,-87.4183,-1.45848,279.738,40.8335,1125.63,292.16,-88.2435,-1.1913
-11,-87.2302,-1.46048,555.532,43.1313,1125.64,572.994,-88.1137,-1.15825
Bahía Gardner (lat -1.37  lon -89.64),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.6182,-1.3666,24.8279,1.41669,13.7272,25.3237,NaN,NaN
